"key","bid","bid_no","ra_no","items","quantity","department","startdate","enddate","document","status"
"GEM/2018/B/33783",237486,"","GEM/2018/B/33783","centrifugal oil cleaning machine",1,"NA","2018-06-21","2018-06-26","https://bidplus.gem.gov.in/showbidDocument/237486","Financial Evaluated"
"GEM/2018/B/33795",237570,"","GEM/2018/B/33795","Air Conditioner",1,"CHHATTISGARH","2018-06-21","2018-07-06","https://bidplus.gem.gov.in/showbidDocument/237570","Financial Evaluated"
"GEM/2018/B/33797",237584,"","GEM/2018/B/33797","absorbent cotton wool",400,"Department of Defence Production and Supply","2018-06-22","2018-06-28","https://bidplus.gem.gov.in/showbidDocument/237584","Financial Evaluated"
"GEM/2018/B/3382",23783,"","GEM/2018/B/3382","telecommunication cable",10,"Department of Defence","2018-04-23","2018-05-07","https://bidplus.gem.gov.in/showbidDocument/23783","Financial Evaluated"
"GEM/2018/B/33829",237815,"","GEM/2018/B/33829","Desktops",39,"NA","2018-06-21","2018-06-29","https://bidplus.gem.gov.in/showbidDocument/237815","Financial Evaluated"
"GEM/2018/B/33844",237934,"","GEM/2018/B/33844","LED Lamps- bulb",575,"Department of Defence","2018-06-21","2018-06-25","https://bidplus.gem.gov.in/showbidDocument/237934","Financial Evaluated"
"GEM/2018/B/33866",238095,"","GEM/2018/B/33866","power cord-Flexible electric cable Heating cables  or Wire cotton Power for Heater  ",200,"NA","2018-06-21","2018-06-24","https://bidplus.gem.gov.in/showbidDocument/238095","Financial Evaluated"
"GEM/2018/B/33887",238242,"","GEM/2018/B/33887","Televisions",3,"Central Armed Police Forces","2018-06-21","2018-06-24","https://bidplus.gem.gov.in/showbidDocument/238242","Financial Evaluated"
"GEM/2018/B/3389",23832,"","GEM/2018/B/3389","Air Conditioner",6,"NA","2018-04-23","2018-05-07","https://bidplus.gem.gov.in/showbidDocument/23832","Financial Evaluated"
"GEM/2018/B/33893",238284,"","GEM/2018/B/33893","Vehicle Hiring Service (Long Term)",5,"Department of Agriculture Cooperation and Farmers Welfare","2018-06-21","2018-07-05","https://bidplus.gem.gov.in/showbidDocument/238284","Financial Evaluated"
"GEM/2018/B/33900",238333,"","GEM/2018/B/33900","Online UPS",2,"Department of Defence","2018-06-21","2018-06-28","https://bidplus.gem.gov.in/showbidDocument/238333","Financial Evaluated"
"GEM/2018/B/33912",238417,"","GEM/2018/B/33912","sports and running shoe",380,"Department of Defence","2018-06-21","2018-06-27","https://bidplus.gem.gov.in/showbidDocument/238417","Financial Evaluated"
"GEM/2018/B/33924",238501,"","GEM/2018/B/33924","handloom cotton bandage",11520,"NA","2018-06-21","2018-06-28","https://bidplus.gem.gov.in/showbidDocument/238501","Financial Evaluated"
"GEM/2018/B/33925",238508,"","GEM/2018/B/33925","Printer or photo Copier Paper",1700,"N/A","2018-06-21","2018-06-28","https://bidplus.gem.gov.in/showbidDocument/238508","Financial Evaluated"
"GEM/2018/B/3395",23874,"","GEM/2018/B/3395","Metal Shelving Racks",73,"Medical Health and Family Welfare Department Uttar Pradesh","2018-04-23","2018-05-08","https://bidplus.gem.gov.in/showbidDocument/23874","Financial Evaluated"
"GEM/2018/B/3396",23881,"","GEM/2018/B/3396","office suite software - MS Office etc",138,"HARYANA","2018-04-23","2018-05-08","https://bidplus.gem.gov.in/showbidDocument/23881","Financial Evaluated"
"GEM/2018/B/34024",239201,"","GEM/2018/B/34024","hand cleaner soap",10000,"NA","2018-06-22","2018-07-05","https://bidplus.gem.gov.in/showbidDocument/239201","Financial Evaluated"
"GEM/2018/B/34043",239341,"","GEM/2018/B/34043","Automotive vehicles tubes for pneumatic tyres",43,"Department of Defence","2018-06-22","2018-06-27","https://bidplus.gem.gov.in/showbidDocument/239341","Financial Evaluated"
"GEM/2018/B/3405",23944,"","GEM/2018/B/3405","Vehicle Hiring Service",3,"Medical Health and Family Welfare Department Uttar Pradesh","2018-04-23","2018-05-10","https://bidplus.gem.gov.in/showbidDocument/23944","Financial Evaluated"
"GEM/2018/B/34054",239418,"","GEM/2018/B/34054","Tablets",45,"NA","2018-06-22","2018-06-26","https://bidplus.gem.gov.in/showbidDocument/239418","Financial Evaluated"
"GEM/2018/B/3407",23958,"","GEM/2018/B/3407","Air Conditioner",7,"Housing and Environment Department Madhya Pradesh","2018-04-23","2018-05-07","https://bidplus.gem.gov.in/showbidDocument/23958","Financial Evaluated"
"GEM/2018/B/34074",239558,"","GEM/2018/B/34074","Multifunction Machines",1,"Department of Home","2018-06-22","2018-07-02","https://bidplus.gem.gov.in/showbidDocument/239558","Financial Evaluated"
"GEM/2018/B/34086",239642,"","GEM/2018/B/34086","insulation tester",1,"NA","2018-06-22","2018-07-04","https://bidplus.gem.gov.in/showbidDocument/239642","Financial Evaluated"
"GEM/2018/B/341",2486,"","GEM/2018/B/341","OEM Cartridge",2,"NA","2018-04-17","2018-05-04","https://bidplus.gem.gov.in/showbidDocument/2486","Financial Evaluated"
"GEM/2018/B/34139",240034,"","GEM/2018/B/34139","Utility Vehicles",10,"Home Department Kerala","2018-06-22","2018-07-13","https://bidplus.gem.gov.in/showbidDocument/240034","Financial Evaluated"
"GEM/2018/B/3415",24014,"","GEM/2018/B/3415","Random Access Memory",27,"NA","2018-04-23","2018-05-07","https://bidplus.gem.gov.in/showbidDocument/24014","Financial Evaluated"
"GEM/2018/B/34162",240195,"","GEM/2018/B/34162","built up trucks",2,"Urban Development Department","2018-06-22","2018-06-25","https://bidplus.gem.gov.in/showbidDocument/240195","Financial Evaluated"
"GEM/2018/B/34189",240384,"","GEM/2018/B/34189","hospital biohazard bags or bio medical waste collection bags",2000,"Urban Development Department Delhi","2018-06-22","2018-06-25","https://bidplus.gem.gov.in/showbidDocument/240384","Financial Evaluated"
"GEM/2018/B/34200",240468,"","GEM/2018/B/34200","Desktops",4,"Department of Defence","2018-06-22","2018-07-07","https://bidplus.gem.gov.in/showbidDocument/240468","Financial Evaluated"
"GEM/2018/B/3423",24070,"","GEM/2018/B/3423","Vehicle Hiring Service",1,"Medical Health and Family Welfare Department Uttar Pradesh","2018-04-23","2018-05-10","https://bidplus.gem.gov.in/showbidDocument/24070","Financial Evaluated"
"GEM/2018/B/34251",240825,"","GEM/2018/B/34251","Utility Vehicles",8,"Home Department Kerala","2018-06-22","2018-07-13","https://bidplus.gem.gov.in/showbidDocument/240825","Financial Evaluated"
"GEM/2018/B/3430",24119,"","GEM/2018/B/3430","Printer",11,"NA","2018-04-23","2018-05-07","https://bidplus.gem.gov.in/showbidDocument/24119","Financial Evaluated"
"GEM/2018/B/34302",241196,"","GEM/2018/B/34302","sutures",50,"Medical Health and Family Welfare Department Uttar Pradesh","2018-06-22","2018-06-25","https://bidplus.gem.gov.in/showbidDocument/241196","Financial Evaluated"
"GEM/2018/B/34330",241392,"","GEM/2018/B/34330","Line Intractive UPS with AVR",22,"Department of Defence","2018-06-22","2018-07-09","https://bidplus.gem.gov.in/showbidDocument/241392","Financial Evaluated"
"GEM/2018/B/34359",241595,"","GEM/2018/B/34359","liquid handwash",1700,"NA","2018-06-22","2018-07-02","https://bidplus.gem.gov.in/showbidDocument/241595","Financial Evaluated"
"GEM/2018/B/34410",241952,"","GEM/2018/B/34410","Utility Vehicles",75,"Home Department Kerala","2018-06-22","2018-07-13","https://bidplus.gem.gov.in/showbidDocument/241952","Financial Evaluated"
"GEM/2018/B/34458",242288,"","GEM/2018/B/34458","chlorine dioxide  for treating drinking water",90000,"Urban Development and Environment Department","2018-06-22","2018-07-05","https://bidplus.gem.gov.in/showbidDocument/242288","Financial Evaluated"
"GEM/2018/B/34466",242344,"","GEM/2018/B/34466","Fan Super Efficient- ceiling BLDC",300,"Ministry of Defence","2018-06-22","2018-07-05","https://bidplus.gem.gov.in/showbidDocument/242344","Financial Evaluated"
"GEM/2018/B/34489",242505,"","GEM/2018/B/34489","Authentication, Authorization and Accounting (AAA) Server",1,"Ministry of Shipping","2018-07-05","2018-07-09","https://bidplus.gem.gov.in/showbidDocument/242505","Financial Evaluated"
"GEM/2018/B/34536",242834,"","GEM/2018/B/34536","barbed wire",71000,"Central Armed Police Forces","2018-06-22","2018-07-04","https://bidplus.gem.gov.in/showbidDocument/242834","Financial Evaluated"
"GEM/2018/B/34578",243135,"","GEM/2018/B/34578","Utility Vehicles",20,"Home Department Kerala","2018-06-22","2018-07-13","https://bidplus.gem.gov.in/showbidDocument/243135","Financial Evaluated"
"GEM/2018/B/3458",24315,"","GEM/2018/B/3458","Vehicle Hiring Service",1,"Ministry of Commerce and Industry","2018-04-23","2018-05-10","https://bidplus.gem.gov.in/showbidDocument/24315","Financial Evaluated"
"GEM/2018/B/3459",24322,"","GEM/2018/B/3459","brooms",10654,"Department of Defence","2018-04-23","2018-05-07","https://bidplus.gem.gov.in/showbidDocument/24322","Financial Evaluated"
"GEM/2018/B/34611",243366,"","GEM/2018/B/34611","cotton thread-twine",38000,"Department of Posts","2018-06-22","2018-07-04","https://bidplus.gem.gov.in/showbidDocument/243366","Financial Evaluated"
"GEM/2018/B/34614",243387,"","GEM/2018/B/34614","Notebook Computers-laptop",131,"Department of Health and Family Welfare","2018-06-22","2018-06-27","https://bidplus.gem.gov.in/showbidDocument/243387","Financial Evaluated"
"GEM/2018/B/34642",243583,"","GEM/2018/B/34642","blood pressure recording units",1,"College Education Department Rajasthan","2018-06-22","2018-06-29","https://bidplus.gem.gov.in/showbidDocument/243583","Financial Evaluated"
"GEM/2018/B/34670",243786,"","GEM/2018/B/34670","Wet Grinder",1,"College Education Department Rajasthan","2018-06-22","2018-06-29","https://bidplus.gem.gov.in/showbidDocument/243786","Financial Evaluated"
"GEM/2018/B/34679",243849,"","GEM/2018/B/34679","All in one",20,"Ministry of Electronics and Information Technology","2018-06-22","2018-07-02","https://bidplus.gem.gov.in/showbidDocument/243849","Financial Evaluated"
"GEM/2018/B/34680",243856,"","GEM/2018/B/34680","Electronic Weighing Scales",1,"College Education Department Rajasthan","2018-06-22","2018-06-29","https://bidplus.gem.gov.in/showbidDocument/243856","Financial Evaluated"
"GEM/2018/B/34718",244122,"","GEM/2018/B/34718","Online UPS",1,"Department of Defence","2018-06-22","2018-06-26","https://bidplus.gem.gov.in/showbidDocument/244122","Financial Evaluated"
"GEM/2018/B/34847",245032,"","GEM/2018/B/34847","domestic refrigerators",5,"Department of Defence","2018-06-25","2018-07-02","https://bidplus.gem.gov.in/showbidDocument/245032","Financial Evaluated"
"GEM/2018/B/34854",245081,"","GEM/2018/B/34854","e rickshaw  passenger",2,"Department of Defence","2018-06-25","2018-07-02","https://bidplus.gem.gov.in/showbidDocument/245081","Financial Evaluated"
"GEM/2018/B/34895",245368,"","GEM/2018/B/34895","Multifunction Machines",2,"Department of Defence","2018-06-25","2018-07-02","https://bidplus.gem.gov.in/showbidDocument/245368","Financial Evaluated"
"GEM/2018/B/34929",245627,"","GEM/2018/B/34929","Printer",1,"Department of Defence","2018-07-06","2018-07-09","https://bidplus.gem.gov.in/showbidDocument/245627","Financial Evaluated"
"GEM/2018/B/34931",245641,"","GEM/2018/B/34931","Printer",1,"Department of Defence","2018-07-06","2018-07-09","https://bidplus.gem.gov.in/showbidDocument/245641","Financial Evaluated"
"GEM/2018/B/3494",24567,"","GEM/2018/B/3494","automatic line voltage corrector or step type auto transformer",22,"NA","2018-04-25","2018-05-09","https://bidplus.gem.gov.in/showbidDocument/24567","Financial Evaluated"
"GEM/2018/B/34955",245809,"","GEM/2018/B/34955","operating system software",1,"Department of Defence","2018-07-06","2018-07-09","https://bidplus.gem.gov.in/showbidDocument/245809","Financial Evaluated"
"GEM/2018/B/3505",24644,"","GEM/2018/B/3505","Ceiling Fan",582,"NA","2018-04-23","2018-05-07","https://bidplus.gem.gov.in/showbidDocument/24644","Financial Evaluated"
"GEM/2018/B/35061",246565,"","GEM/2018/B/35061","Desktops",2,"TAMIL NADU","2018-06-25","2018-06-28","https://bidplus.gem.gov.in/showbidDocument/246565","Financial Evaluated"
"GEM/2018/B/35075",246670,"","GEM/2018/B/35075","Multimedia Projectors",1,"Department of Defence","2018-06-25","2018-07-10","https://bidplus.gem.gov.in/showbidDocument/246670","Financial Evaluated"
"GEM/2018/B/35091",246782,"","GEM/2018/B/35091","Desktops",20,"Department of Telecommunications (DOT)","2018-06-25","2018-07-04","https://bidplus.gem.gov.in/showbidDocument/246782","Financial Evaluated"
"GEM/2018/B/351",2556,"","GEM/2018/B/351","revolving chair",11,"Central Police Organisation","2018-04-17","2018-05-04","https://bidplus.gem.gov.in/showbidDocument/2556","Financial Evaluated"
"GEM/2018/B/35147",247188,"","GEM/2018/B/35147","lead acid battery",60,"Department of Defence","2018-06-25","2018-07-02","https://bidplus.gem.gov.in/showbidDocument/247188","Financial Evaluated"
"GEM/2018/B/35163",247300,"","GEM/2018/B/35163","Executive Table",18,"Department of Defence","2018-06-25","2018-07-01","https://bidplus.gem.gov.in/showbidDocument/247300","Financial Evaluated"
"GEM/2018/B/35182",247433,"","GEM/2018/B/35182","Multimedia Projectors",1,"Department of Defence Production and Supply","2018-06-25","2018-07-02","https://bidplus.gem.gov.in/showbidDocument/247433","Financial Evaluated"
"GEM/2018/B/35198",247545,"","GEM/2018/B/35198","Human Resource Outsourcing Service",5,"Home Department Maharashtra","2018-06-25","2018-06-28","https://bidplus.gem.gov.in/showbidDocument/247545","Financial Evaluated"
"GEM/2018/B/35209",247622,"","GEM/2018/B/35209","Desktops",13,"Department of Defence Research & Development","2018-06-25","2018-06-28","https://bidplus.gem.gov.in/showbidDocument/247622","Financial Evaluated"
"GEM/2018/B/35269",248042,"","GEM/2018/B/35269","Human Resource Outsourcing Service",10,"NA","2018-06-27","2018-07-09","https://bidplus.gem.gov.in/showbidDocument/248042","Financial Evaluated"
"GEM/2018/B/35284",248147,"","GEM/2018/B/35284","Ceiling Fan",450,"NA","2018-06-25","2018-07-02","https://bidplus.gem.gov.in/showbidDocument/248147","Financial Evaluated"
"GEM/2018/B/35305",248301,"","GEM/2018/B/35305","Multifunction Machines",1,"Department of Defence","2018-06-25","2018-07-03","https://bidplus.gem.gov.in/showbidDocument/248301","Financial Evaluated"
"GEM/2018/B/35312",248350,"","GEM/2018/B/35312","Desktops",4,"Department of Telecommunications (DOT)","2018-06-25","2018-07-02","https://bidplus.gem.gov.in/showbidDocument/248350","Financial Evaluated"
"GEM/2018/B/3532",24833,"","GEM/2018/B/3532","OEM Cartridge",8,"Department of Defence","2018-04-23","2018-05-07","https://bidplus.gem.gov.in/showbidDocument/24833","Financial Evaluated"
"GEM/2018/B/35331",248483,"","GEM/2018/B/35331","Printer",3,"Department of Telecommunications (DOT)","2018-06-25","2018-07-02","https://bidplus.gem.gov.in/showbidDocument/248483","Financial Evaluated"
"GEM/2018/B/35345",248588,"","GEM/2018/B/35345","traffic signs - bilinker light",20,"N/A","2018-06-25","2018-06-29","https://bidplus.gem.gov.in/showbidDocument/248588","Financial Evaluated"
"GEM/2018/B/35362",248707,"","GEM/2018/B/35362","FIXED CAPACITORS (FIXED CAPACITOR FOR SINGLE PHASE AC ELECTRIC FAN)",6577,"NA","2018-06-25","2018-06-28","https://bidplus.gem.gov.in/showbidDocument/248707","Financial Evaluated"
"GEM/2018/B/35379",248826,"","GEM/2018/B/35379","Printer,Multifunction Machines,Printer",93,"NA","2018-06-25","2018-07-06","https://bidplus.gem.gov.in/showbidDocument/248826","Financial Evaluated"
"GEM/2018/B/35389",248896,"","GEM/2018/B/35389","Compatible Cartridge",60,"NA","2018-06-25","2018-06-28","https://bidplus.gem.gov.in/showbidDocument/248896","Financial Evaluated"
"GEM/2018/B/35457",249386,"","GEM/2018/B/35457","scanners",1,"Department of Scientific and Industrial Research (DSIR)","2018-06-25","2018-07-01","https://bidplus.gem.gov.in/showbidDocument/249386","Financial Evaluated"
"GEM/2018/B/3547",24938,"","GEM/2018/B/3547","self adhesive flags",25,"Department of Defence","2018-04-23","2018-05-07","https://bidplus.gem.gov.in/showbidDocument/24938","Financial Evaluated"
"GEM/2018/B/35471",249484,"","GEM/2018/B/35471","Notebook Computers-laptop",50,"NA","2018-06-25","2018-07-06","https://bidplus.gem.gov.in/showbidDocument/249484","Financial Evaluated"
"GEM/2018/B/35484",249575,"","GEM/2018/B/35484","Security Manpower Service",4,"Rural Industries Department Madhya Pradesh","2018-06-25","2018-07-07","https://bidplus.gem.gov.in/showbidDocument/249575","Financial Evaluated"
"GEM/2018/B/35487",249596,"","GEM/2018/B/35487","Blade Server,Chassis For Blade Server",16,"NA","2018-06-25","2018-07-10","https://bidplus.gem.gov.in/showbidDocument/249596","Financial Evaluated"
"GEM/2018/B/3550",24959,"","GEM/2018/B/3550","binder clips",20,"Department of Defence","2018-04-23","2018-05-07","https://bidplus.gem.gov.in/showbidDocument/24959","Financial Evaluated"
"GEM/2018/B/35517",249806,"","GEM/2018/B/35517","Printer or photo Copier Paper",400,"NA","2018-06-25","2018-06-30","https://bidplus.gem.gov.in/showbidDocument/249806","Financial Evaluated"
"GEM/2018/B/35520",249827,"","GEM/2018/B/35520","Printer",10,"Central Armed Police Forces","2018-06-26","2018-07-05","https://bidplus.gem.gov.in/showbidDocument/249827","Financial Evaluated"
"GEM/2018/B/35525",249862,"","GEM/2018/B/35525","Printer",6,"Department of Defence Research & Development","2018-06-25","2018-06-28","https://bidplus.gem.gov.in/showbidDocument/249862","Financial Evaluated"
"GEM/2018/B/35536",249939,"","GEM/2018/B/35536","Layer 2 Access Switch",3,"Department of Defence","2018-06-29","2018-07-05","https://bidplus.gem.gov.in/showbidDocument/249939","Financial Evaluated"
"GEM/2018/B/35539",249960,"","GEM/2018/B/35539","office suite software - MS Office etc",450,"Contracts and Materials","2018-06-25","2018-07-09","https://bidplus.gem.gov.in/showbidDocument/249960","Financial Evaluated"
"GEM/2018/B/35542",249981,"","GEM/2018/B/35542","Digital Duplicators",1,"Department of Posts","2018-06-25","2018-07-10","https://bidplus.gem.gov.in/showbidDocument/249981","Financial Evaluated"
"GEM/2018/B/3562",25043,"","GEM/2018/B/3562","Wooden Pencil",26,"Department of Defence","2018-04-23","2018-05-07","https://bidplus.gem.gov.in/showbidDocument/25043","Financial Evaluated"
"GEM/2018/B/35625",250569,"","GEM/2018/B/35625","connector mounting hardware-multi plug",2,"N/A","2018-06-25","2018-07-04","https://bidplus.gem.gov.in/showbidDocument/250569","Financial Evaluated"
"GEM/2018/B/35633",250625,"","GEM/2018/B/35633","diesel generators- DG Sets",3,"Social Welfare Department Andhra Pradesh","2018-06-25","2018-07-02","https://bidplus.gem.gov.in/showbidDocument/250625","Financial Evaluated"
"GEM/2018/B/35679",250947,"","GEM/2018/B/35679","lead acid battery",43,"Department of Defence","2018-06-25","2018-06-30","https://bidplus.gem.gov.in/showbidDocument/250947","Financial Evaluated"
"GEM/2018/B/3568",25085,"","GEM/2018/B/3568","Eraser",3,"Department of Defence","2018-04-23","2018-05-07","https://bidplus.gem.gov.in/showbidDocument/25085","Financial Evaluated"
"GEM/2018/B/35681",250961,"","GEM/2018/B/35681","e cart for garbage",2,"Department of Higher Education","2018-06-25","2018-07-01","https://bidplus.gem.gov.in/showbidDocument/250961","Financial Evaluated"
"GEM/2018/B/3571",25106,"","GEM/2018/B/3571","revolving chair",2,"Housing and Urban Development Department Tamil Nadu","2018-04-23","2018-05-07","https://bidplus.gem.gov.in/showbidDocument/25106","Financial Evaluated"
"GEM/2018/B/35718",251220,"","GEM/2018/B/35718","Desktops",1,"Department of Defence","2018-06-26","2018-06-29","https://bidplus.gem.gov.in/showbidDocument/251220","Financial Evaluated"
"GEM/2018/B/35752",251458,"","GEM/2018/B/35752","steel  body evaporative coolers-desert cooler",20,"Health and Family Welfare Department Chhattisgarh","2018-06-26","2018-06-29","https://bidplus.gem.gov.in/showbidDocument/251458","Financial Evaluated"
"GEM/2018/B/3579",25162,"","GEM/2018/B/3579","Lathe Machine",1,"Department of Defence","2018-04-23","2018-05-08","https://bidplus.gem.gov.in/showbidDocument/25162","Financial Evaluated"
"GEM/2018/B/35792",251752,"","GEM/2018/B/35792","mosquito repellant cream  spray and lotion",2200,"Central Armed Police Forces","2018-07-07","2018-07-10","https://bidplus.gem.gov.in/showbidDocument/251752","Financial Evaluated"
"GEM/2018/B/3580",25169,"","GEM/2018/B/3580","stapler pin",20,"Department of Defence","2018-04-23","2018-05-07","https://bidplus.gem.gov.in/showbidDocument/25169","Financial Evaluated"
"GEM/2018/B/35802",251822,"","GEM/2018/B/35802","Multifunction Machines",2,"Department of Defence","2018-06-26","2018-06-29","https://bidplus.gem.gov.in/showbidDocument/251822","Financial Evaluated"
"GEM/2018/B/3582",25183,"","GEM/2018/B/3582","pins or tacks",10,"Department of Defence","2018-04-23","2018-05-07","https://bidplus.gem.gov.in/showbidDocument/25183","Financial Evaluated"
"GEM/2018/B/35823",251976,"","GEM/2018/B/35823","Security Manpower Service",1,"DELHI","2018-06-26","2018-07-07","https://bidplus.gem.gov.in/showbidDocument/251976","Financial Evaluated"
"GEM/2018/B/35861",252242,"","GEM/2018/B/35861","Security Manpower Service",3,"DELHI","2018-06-26","2018-07-07","https://bidplus.gem.gov.in/showbidDocument/252242","Financial Evaluated"
"GEM/2018/B/35865",252270,"","GEM/2018/B/35865","scanners",1,"NA","2018-06-26","2018-07-09","https://bidplus.gem.gov.in/showbidDocument/252270","Financial Evaluated"
"GEM/2018/B/35879",252368,"","GEM/2018/B/35879","built up trucks",5,"Rural Development & Panchayat Department Andaman","2018-06-27","2018-07-08","https://bidplus.gem.gov.in/showbidDocument/252368","Financial Evaluated"
"GEM/2018/B/35891",252452,"","GEM/2018/B/35891","Air Conditioner",2,"Department of Higher Education","2018-06-26","2018-07-10","https://bidplus.gem.gov.in/showbidDocument/252452","Financial Evaluated"
"GEM/2018/B/359",2612,"","GEM/2018/B/359","diesel generators- DG Sets",1,"Cooperative Department Uttar Pradesh","2018-04-20","2018-05-04","https://bidplus.gem.gov.in/showbidDocument/2612","Financial Evaluated"
"GEM/2018/B/35912",252599,"","GEM/2018/B/35912","Security Manpower Service",65,"DELHI","2018-06-26","2018-07-07","https://bidplus.gem.gov.in/showbidDocument/252599","Financial Evaluated"
"GEM/2018/B/3592",25253,"","GEM/2018/B/3592","glue stick",2,"Department of Defence","2018-04-23","2018-05-07","https://bidplus.gem.gov.in/showbidDocument/25253","Financial Evaluated"
"GEM/2018/B/35937",252774,"","GEM/2018/B/35937","Printer or photo Copier Paper",400,"Food Civil Supplies and Consumer Protection Department Maharashtra","2018-06-26","2018-07-01","https://bidplus.gem.gov.in/showbidDocument/252774","Financial Evaluated"
"GEM/2018/B/3594",25267,"","GEM/2018/B/3594"," chairs-office",16,"Housing and Urban Development Department Tamil Nadu","2018-04-23","2018-05-07","https://bidplus.gem.gov.in/showbidDocument/25267","Financial Evaluated"
"GEM/2018/B/35972",253033,"","GEM/2018/B/35972","Shoulder Builder/ Arm Wheel- Outdoor Gym Equipment",3,"Urban Development Department","2018-06-26","2018-07-06","https://bidplus.gem.gov.in/showbidDocument/253033","Financial Evaluated"
"GEM/2018/B/35981",253103,"","GEM/2018/B/35981","Leg  Press - Outdoor Gym Equipments",3,"Urban Development Department","2018-06-26","2018-07-06","https://bidplus.gem.gov.in/showbidDocument/253103","Financial Evaluated"
"GEM/2018/B/35998",253222,"","GEM/2018/B/35998","Cleaning and Sanitation Service",153300,"Health and Family Welfare Department Delhi","2018-06-26","2018-07-10","https://bidplus.gem.gov.in/showbidDocument/253222","Financial Evaluated"
"GEM/2018/B/3605",25344,"","GEM/2018/B/3605","Desktops",4,"NA","2018-04-23","2018-05-07","https://bidplus.gem.gov.in/showbidDocument/25344","Financial Evaluated"
"GEM/2018/B/3606",25351,"","GEM/2018/B/3606","knife blades",10,"Department of Defence","2018-04-23","2018-05-07","https://bidplus.gem.gov.in/showbidDocument/25351","Financial Evaluated"
"GEM/2018/B/36084",253831,"","GEM/2018/B/36084","Desktops",3,"TAMIL NADU","2018-06-26","2018-06-29","https://bidplus.gem.gov.in/showbidDocument/253831","Financial Evaluated"
"GEM/2018/B/36128",254139,"","GEM/2018/B/36128","Human Resource Outsourcing Service",23,"Health and Family Welfare Department Delhi","2018-06-26","2018-07-10","https://bidplus.gem.gov.in/showbidDocument/254139","Financial Evaluated"
"GEM/2018/B/3616",25421,"","GEM/2018/B/3616","dusk to dawn controller-Sensitive switch",50,"Public Works Department Chhattisgarh","2018-04-23","2018-05-07","https://bidplus.gem.gov.in/showbidDocument/25421","Financial Evaluated"
"GEM/2018/B/3620",25449,"","GEM/2018/B/3620","OEM Cartridge",1,"NA","2018-04-23","2018-05-07","https://bidplus.gem.gov.in/showbidDocument/25449","Financial Evaluated"
"GEM/2018/B/36220",254818,"","GEM/2018/B/36220","Air Conditioner",4,"NA","2018-06-26","2018-06-29","https://bidplus.gem.gov.in/showbidDocument/254818","Financial Evaluated"
"GEM/2018/B/36253",255056,"","GEM/2018/B/36253","wheelbarrows",250,"Urban Local Bodies","2018-06-26","2018-06-29","https://bidplus.gem.gov.in/showbidDocument/255056","Financial Evaluated"
"GEM/2018/B/36285",255287,"","GEM/2018/B/36285","All in one",11,"NA","2018-06-26","2018-07-09","https://bidplus.gem.gov.in/showbidDocument/255287","Financial Evaluated"
"GEM/2018/B/36289",255315,"","GEM/2018/B/36289","plastic moulded chair",200,"Home Department Jammu and Kashmir","2018-06-26","2018-06-29","https://bidplus.gem.gov.in/showbidDocument/255315","Financial Evaluated"
"GEM/2018/B/36291",255329,"","GEM/2018/B/36291","Ceiling Fan",260,"Department of Defence","2018-06-26","2018-06-30","https://bidplus.gem.gov.in/showbidDocument/255329","Financial Evaluated"
"GEM/2018/B/36296",255364,"","GEM/2018/B/36296","Computer Paper",112,"NA","2018-06-26","2018-07-06","https://bidplus.gem.gov.in/showbidDocument/255364","Financial Evaluated"
"GEM/2018/B/36315",255497,"","GEM/2018/B/36315","Desktops",6,"Department of Defence","2018-06-26","2018-07-03","https://bidplus.gem.gov.in/showbidDocument/255497","Financial Evaluated"
"GEM/2018/B/3636",25561,"","GEM/2018/B/3636","Roller Ball Pen",30,"Department of Defence","2018-04-23","2018-05-07","https://bidplus.gem.gov.in/showbidDocument/25561","Financial Evaluated"
"GEM/2018/B/364",2647,"","GEM/2018/B/364","Notebook Computers-laptop",1,"Department of Atomic Energy","2018-04-17","2018-05-04","https://bidplus.gem.gov.in/showbidDocument/2647","Financial Evaluated"
"GEM/2018/B/3642",25603,"","GEM/2018/B/3642","Desktops",5,"Department of Defence","2018-04-24","2018-05-08","https://bidplus.gem.gov.in/showbidDocument/25603","Financial Evaluated"
"GEM/2018/B/3647",25638,"","GEM/2018/B/3647","sewing machine",13500,"Labour Department Chhattisgarh","2018-04-23","2018-05-05","https://bidplus.gem.gov.in/showbidDocument/25638","Financial Evaluated"
"GEM/2018/B/3649",25652,"","GEM/2018/B/3649","OEM Cartridge",13,"Department of Defence","2018-04-23","2018-05-07","https://bidplus.gem.gov.in/showbidDocument/25652","Financial Evaluated"
"GEM/2018/B/3650",25659,"","GEM/2018/B/3650","Envelopes",1250,"Department of Defence","2018-04-23","2018-05-07","https://bidplus.gem.gov.in/showbidDocument/25659","Financial Evaluated"
"GEM/2018/B/36543",257121,"","GEM/2018/B/36543","lead acid battery",25,"Central Armed Police Forces","2018-06-26","2018-07-02","https://bidplus.gem.gov.in/showbidDocument/257121","Financial Evaluated"
"GEM/2018/B/36553",257191,"","GEM/2018/B/36553","maplitho paper",41600,"Central Armed Police Forces","2018-06-26","2018-07-03","https://bidplus.gem.gov.in/showbidDocument/257191","Financial Evaluated"
"GEM/2018/B/36556",257212,"","GEM/2018/B/36556","PORTABLE MOBILE LAB -WITH POWER BACKUP",1,"Central Armed Police Forces","2018-06-26","2018-06-30","https://bidplus.gem.gov.in/showbidDocument/257212","Financial Evaluated"
